"Index","SMU-1 Time (s)","SMU-1 Voltage (V)","SMU-1 Current (A)","SMU-1 Resistance (Ω)"
"1","0","2.17056393623352","0.00310381944291294","699.32029750946"
,"0.0002","3.99255180358887","0.00586927495896816","680.246168649555"
,"0.0004","3.99911284446716","0.00594891794025898","672.242058913502"
,"0.0006","3.99829316139221","0.00599259370937943","667.20578021737"
,"0.0008","3.99829888343811","0.00602769525721669","663.321338060534"
,"0.001","3.99822616577148","0.0060567120090127","660.131464038891"
,"0.0012","3.99833369255066","0.00608178600668907","657.42755304989"
,"0.0014","3.99817681312561","0.00610265182331204","655.154009909697"
,"0.0016","3.99839162826538","0.00612260168418288","653.054344298571"
,"0.0018","3.99819135665894","0.00613893382251263","651.284322694083"
,"0.002","3.99831342697144","0.00615455722436309","649.650865401646"
,"0.0022","3.99833083152771","0.00616840831935406","648.194902886456"
,"0.0024","3.99823498725891","0.00618150690570474","646.805875694979"
,"0.0026","3.99832510948181","0.00619546137750149","645.363575988308"
,"0.0028","3.99830484390259","0.00620616739615798","644.2470189215"
,"0.003","3.99833941459656","0.0062191030010581","642.912557311929"
,"0.0032","3.99827575683594","0.00622861320152879","641.920701682772"
,"0.0034","3.99832510948181","0.00623723678290844","641.041096986762"
,"0.0036","3.99822926521301","0.00624614162370563","640.111849215644"
,"0.0038","3.99836850166321","0.00625479454174638","639.248575628967"
,"0.004","3.99828147888184","0.00626284256577492","638.41321842123"
,"0.0042","3.99834513664246","0.00626957602798939","637.737722422149"
,"0.0044","3.99830484390259","0.00627763941884041","636.912153938454"
,"0.0046","3.99822330474854","0.00628515519201756","636.13756265342"
,"0.0048","3.99836254119873","0.0062914458103478","635.523639832113"
,"0.005","3.99819421768188","0.00629707239568233","634.929053765254"
,"0.0052","3.99839472770691","0.00630293460562825","634.370333485058"
,"0.0054","3.99820303916931","0.00630873814225197","633.756378695108"
,"0.0056","3.99825239181519","0.00631355214864016","633.280964136227"
,"0.0058","3.99833941459656","0.00631968071684241","632.680604249624"
,"0.006","3.99823498725891","0.00632412545382977","632.219429618946"
,"0.0062","3.99838018417358","0.00632916064932942","631.739405223853"
,"0.0064","3.99821162223816","0.00633360538631678","631.269455289393"
,"0.0066","3.99837708473206","0.00633843429386616","630.814630136874"
,"0.0068","3.99825811386108","0.00634242128580809","630.399327589237"
,"0.007","3.99835395812988","0.00634581781923771","630.077016394742"
,"0.0072","3.99831342697144","0.0063505875878036","629.59739893207"
,"0.0074","3.99829030036926","0.0063541610725224","629.239683214714"
,"0.0076","3.99837422370911","0.00635851733386517","628.821785609352"
,"0.0078","3.99815058708191","0.00636186962947249","628.455284364798"
,"0.008","3.99832224845886","0.00636681634932756","627.993965756708"
,"0.0082","3.99823498725891","0.00637021288275719","627.645427373594"
,"0.0084","3.99835681915283","0.0063737416639924","627.317050162389"
,"0.0086","3.99825525283813","0.00637704972177744","626.975706208501"
,"0.0088","3.99833941459656","0.00638031307607889","626.668216264678"
,"0.009","3.99830174446106","0.00638353265821934","626.346250349782"
