"Index","SMU-1 Time (s)","SMU-1 Voltage (V)","SMU-1 Current (A)","SMU-1 Resistance (Ω)"
"1","0","2.87192869186401","0.00413414323702455","694.685337978521"
,"0.0002","5.24133396148682","0.00792971346527338","660.973941169527"
,"0.0004","5.24858903884888","0.00817977543920279","641.654416781937"
,"0.0006","5.24746465682983","0.00836385879665613","627.397566650428"
,"0.0008","5.24740076065063","0.00852455291897058","615.56316331535"
,"0.001","5.24761295318604","0.008669120259583","605.322431348813"
,"0.0012","5.24765062332153","0.0088005168363452","596.288913583949"
,"0.0014","5.24763011932373","0.00892187003046274","588.176032760652"
,"0.0016","5.24760675430298","0.00903753936290741","580.645521262195"
,"0.0018","5.24766778945923","0.00914809852838516","573.634813090011"
,"0.002","5.24763584136963","0.00925430189818144","567.048265672081"
,"0.0022","5.24776124954224","0.00935446657240391","560.989898133087"
,"0.0024","5.24761009216309","0.00945201609283686","555.184210502979"
,"0.0026","5.24774932861328","0.00954773556441069","549.632872968784"
,"0.0028","5.24778413772583","0.0096401609480381","544.366859226953"
,"0.003","5.24773216247559","0.00973023939877748","539.321998915558"
,"0.0032","5.24782228469849","0.00981711223721504","534.558652065203"
,"0.0034","5.24770021438599","0.00990237668156624","529.943505800465"
,"0.0036","5.24779605865479","0.00998473074287176","525.582130735099"
,"0.0038","5.24769687652588","0.0100669385865331","521.280310932454"
,"0.004","5.24772310256958","0.0101510509848595","516.963525293754"
,"0.0042","5.24771165847778","0.0102339815348387","512.773219358804"
,"0.0044","5.24777841567993","0.0103169418871403","508.656389954189"
,"0.0046","5.24768829345703","0.0103986030444503","504.653199186954"
,"0.0048","5.24767971038818","0.0104801747947931","500.724445263584"
,"0.005","5.24786853790283","0.0105596054345369","496.975816988276"
,"0.0052","5.24766778945923","0.0106373243033886","493.325919168183"
,"0.0054","5.24786281585693","0.0107181277126074","489.624956575582"
,"0.0056","5.24766492843628","0.0107971020042896","486.025317381591"
,"0.0058","5.24781036376953","0.0108761340379715","482.506959315509"
,"0.006","5.24769401550293","0.0109534971415997","479.088454368881"
,"0.0062","5.24772882461548","0.0110286753624678","475.825849627806"
,"0.0064","5.24782228469849","0.0111044151708484","472.588803998901"
,"0.0066","5.24765062332153","0.0111824879422784","469.27398003099"
,"0.0068","5.24784231185913","0.0112609146162868","466.022742439511"
,"0.007","5.24764490127563","0.0113385729491711","462.813523782927"
,"0.0072","5.24779319763184","0.0114199100062251","459.530170970805"
,"0.0074","5.24765634536743","0.0114974351599813","456.419738171934"
,"0.0076","5.24776124954224","0.0115786679089069","453.226682968027"
,"0.0078","5.24779605865479","0.0116582615301013","450.135386404322"
,"0.008","5.24772596359253","0.0117369834333658","447.110281222203"
,"0.0082","5.24782228469849","0.0118195461109281","443.995246132716"
,"0.0084","5.24772024154663","0.0118990214541554","441.021159745366"
,"0.0086","5.24782228469849","0.0119795138016343","438.066383293665"
,"0.0088","5.24764490127563","0.0120581388473511","435.195262528299"
,"0.009","5.24788045883179","0.0121375769376755","432.366401117687"
,"0.0092","5.24764204025269","0.012216055765748","429.569260396329"
,"0.0094","5.24778699874878","0.0122995097190142","426.666356516315"
,"0.0096","5.24774074554443","0.0123817529529333","423.828577867176"
,"0.0098","5.24764776229858","0.0124612506479025","421.117262670732"
,"0.01","2.5744423866272","0.00612982222810388","419.98646793115"
,"0.0102","0.503901183605194","0.00104723474942148","481.173093123164"
,"0.0104","0.498615562915802","0.000975036062300205","511.38166288898"
,"0.0106","0.499191224575043","0.000937503995373845","532.468370309165"
,"0.0108","0.49926683306694","0.000908745627384633","549.402184749795"
,"0.011","0.499249368906021","0.000886501104105264","563.168355452764"
,"0.0112","0.499144673347473","0.000867904920596629","575.114464156215"
,"0.0114","0.499243557453156","0.000853016099426895","585.2686224663"
,"0.0116","0.49910980463028","0.000840195221826434","594.040279764153"
,"0.0118","0.499173790216446","0.00082981149898842","601.55082307845"
,"0.012","0.499138861894608","0.00082069804193452","608.188196377385"
,"0.0122","0.499127238988876","0.00081289914669469","614.008811570741"
,"0.0124","0.499112695455551","0.000805986521299928","619.256876219917"
,"0.0126","0.499135971069336","0.000799738569185138","624.123920368016"
,"0.0128","0.499167948961258","0.000794155290350318","628.552066612897"
,"0.013","0.49900221824646","0.000789561658166349","631.999050467225"
,"0.0132","0.499182522296906","0.000785233860369772","635.711916526164"
,"0.0134","0.49901095032692","0.000781408278271556","638.60463755351"
,"0.0136","0.499103993177414","0.000777656503487378","641.805206976597"
,"0.0138","0.499074906110764","0.000773993437178433","644.805087663436"
,"0.014","0.499069094657898","0.000771246093790978","647.094486021675"
,"0.0142","0.49901095032692","0.000768868019804358","649.020296687453"
,"0.0144","0.499080717563629","0.000766608107369393","651.0245753547"
,"0.0146","0.499057471752167","0.000764747033827007","652.578499395734"
,"0.0148","0.499051660299301","0.000762295094318688","654.669909354901"
,"0.015","0.499098181724548","0.000760818016715348","656.002054051358"
,"0.0152","0.49900221824646","0.000758735404815525","657.676200529729"
,"0.0154","0.499074906110764","0.000757361704017967","658.965067104745"
,"0.0156","0.498996406793594","0.000755677814595401","660.329570560124"
,"0.0158","0.499028384685516","0.00075451098382473","661.393134604703"
,"0.016","0.498987704515457","0.000753299798816442","662.402545838255"
,"0.0162","0.499028384685516","0.000751926156226546","663.666745136028"
,"0.0164","0.499051660299301","0.000750833074562252","664.663927585045"
,"0.0166","0.49900221824646","0.000749991158954799","665.344134112032"
,"0.0168","0.499167948961258","0.000749385566450655","666.102966628363"
,"0.017","0.498996406793594","0.000748263031709939","666.872992045701"
,"0.0172","0.499106884002686","0.000747465412132442","667.732413970547"
,"0.0174","0.499025493860245","0.000746845034882426","668.178096596444"
,"0.0176","0.499098181724548","0.000745515688322484","669.467040791039"
,"0.0178","0.499089449644089","0.000745013472624123","669.906609723676"
,"0.018","0.498987704515457","0.000744141987524927","670.554427623589"
,"0.0182","0.499112695455551","0.000744156772270799","670.709068376151"
,"0.0184","0.499019682407379","0.000742561533115804","672.02468772316"
,"0.0186","0.499089449644089","0.000742251402698457","672.399469815278"
